ID,Título,Autor,Año,Categoría,Área,Ejemplares
1,Universal full-range pricing structure,Paulino Pedrero Paz,1984,Educación,Literatura,4
2,User-centric web-enabled open architecture,Cruz Aguirre Blanch,1974,Filosofía,Humanidades,4
3,Devolved bi-directional adapter,Alberto Hervás Vilanova,1987,Ficción,Literatura,4
4,Multi-channeled logistical structure,Jose Manuel Ledesma Muñoz,1994,Infantil,Literatura,3
5,Operative hybrid methodology,Ariadna Merche Morell Jover,1979,Historia,Ciencias,1
6,Integrated heuristic matrix,Jose Francisco Mata Urrutia,1984,Educación,Literatura,1
7,Public-key client-server artificial intelligence,Gloria Barriga Gual,1952,Filosofía,Humanidades,5
8,Balanced exuding structure,Luciano Galán Blanch,1992,Historia,Ciencias,3
9,Implemented composite matrices,Almudena Manuelita Ibáñez Peñas,1972,Historia,Literatura,1
10,Programmable analyzing circuit,Luciana Rosa Paz,1970,Educación,Humanidades,1
11,Phased context-sensitive website,Paz del Figuerola,2014,Historia,Humanidades,1
12,Enterprise-wide client-server productivity,Celso Torrens,1989,Infantil,Literatura,4
13,Realigned national secured line,Jacobo Olivares,2009,Filosofía,Literatura,1
14,Focused disintermediate architecture,María Del Carmen Arellano Mendez,1996,Educación,Humanidades,1
15,Upgradable real-time system engine,Prudencio Portero Otero,2016,Tecnología,Literatura,3
16,Networked homogeneous hub,Tadeo Anglada Valle,2018,Ficción,Literatura,5
17,Extended 24hour concept,Nacio Huerta,2019,Ficción,Literatura,2
18,Robust full-range migration,Alma Agudo Palmer,2017,Ciencia,Literatura,3
19,Intuitive bottom-line system engine,Francisco Javier Darío Fuentes Marco,1978,Ficción,Ciencias,3
20,Fully-configurable radical access,Paulina Priego Díez,2001,Ciencia,Ciencias,5
21,Cloned analyzing initiative,Zacarías Morante Cañas,2023,Infantil,Ciencias,2
22,Front-line optimizing moratorium,Lucía Linares-Pedrosa,2007,Ficción,Ciencias,2
23,Object-based zero tolerance contingency,Anabel Bernad-Uriarte,1992,Filosofía,Ciencias,4
24,Balanced methodical budgetary management,Esther Marin Jara,1970,Historia,Humanidades,4
25,Right-sized high-level knowledgebase,Ileana Posada Duarte,2023,Filosofía,Ciencias,1
26,Profit-focused full-range time-frame,Juan Bautista Cisneros-Morales,1963,Tecnología,Ciencias,2
27,Extended mobile orchestration,Tecla Sedano,1964,Educación,Literatura,2
28,Down-sized 4thgeneration orchestration,Dorita del Lobato,1981,Filosofía,Ciencias,4
29,Re-contextualized modular time-frame,Haydée Gargallo-Muñoz,1979,Filosofía,Humanidades,1
30,Optional web-enabled superstructure,Hernán Valverde Quintero,2014,Filosofía,Literatura,1
31,Synchronized multimedia groupware,José Lola Bernad Cabrera,1992,Tecnología,Ciencias,3
32,Mandatory multi-tasking project,Nicolasa Camino Millán,2005,Filosofía,Literatura,1
33,Exclusive interactive parallelism,Griselda Manso Galiano,1996,Historia,Literatura,3
34,Versatile solution-oriented application,Teo Arellano Huguet,1973,Educación,Humanidades,1
35,Organic radical emulation,Santos Mascaró Herrero,1990,Historia,Humanidades,2
36,Intuitive intangible monitoring,Emperatriz Carrasco Medina,1971,Ficción,Humanidades,5
37,Diverse fault-tolerant task-force,Isa Clavero Cañellas,1978,Tecnología,Humanidades,1
38,Universal next generation implementation,Brunilda de Vera,2015,Filosofía,Ciencias,2
39,Innovative logistical installation,Sandra Alonso Palomino,2013,Ficción,Humanidades,4
40,Multi-tiered user-facing attitude,Cayetano Castellanos Font,1993,Ciencia,Humanidades,5
41,Inverse foreground superstructure,Yaiza Prats Rincón,1955,Tecnología,Ciencias,4
42,Cross-group bandwidth-monitored pricing structure,Anastasia Galiano Roca,1971,Infantil,Humanidades,1
43,Proactive mission-critical analyzer,Teresita Guerra Bueno,2004,Tecnología,Humanidades,2
44,Mandatory tangible service-desk,Ruperto Fausto Puga Muñoz,1959,Historia,Literatura,5
45,Integrated background ability,Araceli del Farré,2004,Ciencia,Humanidades,5
46,Universal fresh-thinking software,Soledad Gilabert,1959,Historia,Humanidades,5
47,Right-sized foreground system engine,Isaías Cruz Coronado,1977,Tecnología,Ciencias,1
48,Focused non-volatile implementation,Francisco Jose Barco Gómez,1995,Infantil,Literatura,4
49,Organized background website,Aurora Pareja,1964,Tecnología,Ciencias,5
50,Grass-roots multimedia functionalities,Socorro Garzón-Mascaró,2019,Ficción,Literatura,3
